Stimulus name,Description ,URL
Agnus Dei (Audio),"The Flemish Radio Choir performs Samuel Barber’s Agnes Dei, Opus 11, in Brussels. Agnus Dei (“Lamb of God”) comes from John 1:29 and is a part of the Latin liturgical tradition. The words of the song are a request for peace and forgiveness. In 1967, Barber set the Latin words of the liturgical Agnus Dei, a part of the Mass, for mixed chorus with optional organ or piano accompaniment.",https://youtu.be/bFnbGevBnvY
"Misere Mei, Deus (Audio)","Tenebrae Choir performs Gregorio Allegri’s Miserere mei, Deus at St. Bartholomew the Great, in London. The work’s title, Latin for “Have mercy on me, O God,” is from Psalm 51. The Renaissance composition has historically been shrouded in secrecy and mystique dating back to its first performances at the Sistine Chapel.",https://youtu.be/3nakMFiPB0w
3rd Grade Dropout Speech (Audio),"Rick Rigsby is an ordained minister, motivational speaker, and author. His popular commencement speech delivers a powerful message of how his father's teachings have guided him through the toughest times of his life.",https://youtu.be/Yu23MU4vsIM
Unbroken - Motivation (Audio),"This motivational compilation, from a series by Youtube creator Mateusz M., combines quotes from Les Brown, Steve Jobs, Eric Thomas, and Louis Zamperini, with scenes from Her and Jobs to make a single motivational message. It is intended to encourage the listener to take full responsibility for one’s life and follow one’s path, even when it’s unconventional; to pursue what one loves, and live a principled life in the face of hardship.",https://youtu.be/QRE2CUZxtQY
Laughing Heart (Audio),"The Laughing Heart is a classic poem by Charles Bukowski, that takes on the universal human condition of life and death. It acknowledges the darkness in life, but encourages us to find and cultivate the light. Written in 1993 and published posthumously by Black Sparrow Press in 1996, “The Laughing Heart” is a testament to the clarity that he found at the end of his life.",https://youtu.be/9COXybhp8p8
Hallelujah Choir (Audio),"Choir! Choir! Choir! began as a weekly drop-in singing event, equal parts singing, comedy, and community-building. In 2015, 1500 singers came to Luminato Festival in Toronto for a very special event. Choir! leaders taught them backup parts to Leonard Cohen's Hallelujah, and Rufus Wainwright joined the crowd on stage to lead the vocals. The collective performance amplifies the power of the musical piece.",https://youtu.be/gCrUi_tRN8g
Jason Silva - Existential Bummer (Audio),"Storyteller Jason Silva considers the impermanence of all and the dual nature of human consciousness, through a meditation on a passage from Ernest Becker:  ""Man is literally split in two: he has an awareness of his own splendid uniqueness in that he sticks out of nature with a towering majesty, and yet he goes back into the ground a few feet in order blindly and dumbly to rot and disappear forever"" -Ernest Becker",https://youtu.be/Lz-P3WdIHvw
Clair de Lune (Audio),"Claude Debussy’s “Clair de Lune,” (Suite bergamasque, CD 82, L. 75: III.), is one of the most well-known musical pieces of all time. It was inspired by the poem “Clair de lune” (“Moonlight”), by French poet Paul Verlaine. In Symbolist style, the poem’s imagery of masks, dancing, and moonlight evokes a particular mood that is well reflected in Debussy’s composition.",https://youtu.be/JRinyHJ_9-E
Carl Sagan Pale Blue Dot (Audio),"On Feb. 14, 1990, astronomer Carl Sagan gave a never-seen-before perspective of our home planet. Voyager 1 spacecraft was departing our solar system, and Sagan convinced NASA to turn the camera for one last look toward Earth. Pale Blue Dot is the resulting photograph of our planet, from a record distance of 6 billion kilometers (3.7 billion miles). The Earth appears as a tiny dot against the vastness of space, and Sagan beautifully reflects on our place in the immense scope of the cosmos.",https://youtu.be/T2Qv_Vms-Yw
Motorcycle Diaries (Audio),"De Ushuaia a La Quiaca (From Ushuaia to La Quiaca) by Gustavo Santaolalla is the result of an epic road trip from the northernmost tip of his native Argentina to the southernmost town. Between 1981 and 1985, Santaolalla was producer and instrumentalist on a monumental tour (also called De Ushuaia a La Quiaca) where Argentine singer-songwriting León Gieco visited folk musicians across the entire country in their own homes, and recorded with them. This haunting track comes out of that experience.",https://youtu.be/D95hQkiRNrQ
Pema Chodron (Audio),"Pema Chodron is an American Tibetan Buddhist nun and a leading meditation teacher, known for her down-to-earth interpretations for Western audiences. In this 2007 talk at the Omega Institute, she offers practical advice for what to do when “you're about to lose it.”",https://youtu.be/kAjDjzfVhGU
Duo des fleurs (Audio),"Sabine Devieilhe and Marianne Crebassa perform “Flower Duet” with Les Siècles orchestra. “Flower Duet” is from Léo Delibes' opera Lakmé, based on a French libretto by Edmond Gondinet and Philippe Gille. In the opera, the duet is sung by Lakmé and her servant Mallika. The women have taken a trip down to the riverbank to pick flowers and bathe, and they begin to sing.",https://youtu.be/w8Xasd9yS0A
Radiohead - Reckoner (Audio),"Radiohead’s song Reckoner was born out of a dream, and is inspired by the transcience of nature. Singer Thom Yorke’s haunting vocals sing of the Reckoner, the one who wakes you when you wish to remain in your dream state, your current perceived reality. With Faustian undertones, the song alludes to our impermanence and the true nature of life.",https://youtu.be/Uln1fL0W9as
Sigur Rós – Hoppípolla (Audio),"Hoppípolla is a song by Icelandic band Sigur Rós. The title is a play on words; “hoppa í polla” is Icelandic for “hopping into puddles.” The lyrics describe carefree childlike play and exploration: being a kid and jumping into puddles, falling down, and getting back up unscathed. The song transports the listener to the simple joy and wonder of such experiences.",https://youtu.be/8WEGleZJzz0
Wild Geese (Audio),"Mary Oliver’s “Wild Geese” is a poetic guide to leading a peaceful and authentic life. Instead of striving for perfection, one may find perfection in connecting with themself, just as they are. Oliver’s work is inspired by nature and reminds us of humans’ place within nature, that we are part of a larger ecosystem with its own rhythms that are greater than human constructs and troubles.",https://youtu.be/AfVHA6h9h0g
Thai Medicine,"Giving is the best communication.This short film shows that kindness and generosity reverberate in ways we can’t expect. Giving without expecting any returns, we never know how our actions may change whole lives, including our own.",https://youtu.be/mn26zmFwUNk
