ts,pid,argmax,probs
2025-10-22T23:28:21.250098,PL1,4,[0.04506701979149186, 0.016579230056156354, 0.016579230056156354, 0.016579230056156354, 0.9051952900400391]
2025-10-22T23:29:17.751427,PH1,3,[5.056107463052243e-44, 5.056107463052243e-44, 0.5, 0.5, 1.0155463313674055e-42]
2025-10-23T00:12:00.870301,P120,3,[1.8048513878454153e-35, 1.8048513878454153e-35, 1.3336148155022614e-34, 1.0, 3.6251409191435593e-34]
2025-10-23T00:14:14.830433,P120,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T00:14:35.579343,P120,3,[2.2991261772701394e-23, 2.2991261772701394e-23, 0.11920292202211755, 0.8807970779778823, 1.2552803597172446e-21]
2025-10-23T02:03:52.165797,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:03:57.300751,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:01.699281,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:05.201098,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:08.636798,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:13.142663,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:16.628733,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:20.191808,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:23.784382,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:27.563641,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:38.277120,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:43.252941,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T02:04:46.629787,P100,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T13:43:22.242742,P120,Great Dictator,[["Great Dictator", 0.0], ["Think Too Much Feel Too Little (audio)", 0.0], ["Perfect Planet", 0.0], ["Aramaic (Audio)", 0.0], ["Unsung Hero (Thai Insurance)", 0.0]]
2025-10-23T13:55:23.323213,P120,Great Dictator,[["Great Dictator", 0.0], ["Think Too Much Feel Too Little (audio)", 0.0], ["Perfect Planet", 0.0], ["Aramaic (Audio)", 0.0], ["Unsung Hero (Thai Insurance)", 0.0]]
2025-10-23T13:55:26.807733,P120,Great Dictator,[["Great Dictator", 0.0], ["Think Too Much Feel Too Little (audio)", 0.0], ["Perfect Planet", 0.0], ["Aramaic (Audio)", 0.0], ["Unsung Hero (Thai Insurance)", 0.0]]
2025-10-23T13:55:36.443431,P101,Great Dictator,[["Great Dictator", 0.0], ["Think Too Much Feel Too Little (audio)", 0.0], ["Perfect Planet", 0.0], ["Aramaic (Audio)", 0.0], ["Unsung Hero (Thai Insurance)", 0.0]]
2025-10-23T14:23:32.457974,P120,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T14:23:45.384761,P120,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T14:23:52.352146,P120,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T14:24:07.941242,P120,3,[5.380186160021138e-32, 5.380186160021138e-32, 1.9792598779469045e-32, 1.0, 1.0806392777072785e-30]
2025-10-23T15:26:53.298216,P120,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T15:26:58.603470,P120,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T15:27:01.977923,P120,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T15:39:13.590675,P2002,0,3,[0.0, 0.0, 0.0, 71.0, 1.0]
2025-10-23T15:39:17.847750,P2002,0,3,[0.0, 0.0, 0.0, 71.0, 1.0]
2025-10-23T15:39:20.857991,P2002,0,3,[0.0, 0.0, 0.0, 71.0, 1.0]
2025-10-23T16:19:43.743487,P123,0,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T16:25:06.909842,P120,0,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T16:25:20.083600,P120,0,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T16:25:42.728900,P120,0,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T16:25:54.300482,P120,0,[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2025-10-23T16:32:16.369904,P12,0,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T16:32:32.435582,P12,0,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T17:00:25.314819,P120,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T17:00:29.280254,P120,3,[1.462486227251231e-31, 1.462486227251231e-31, 1.462486227251231e-31, 1.0, 3.975449735908647e-31]
2025-10-23T17:18:16.626191,P100,0,[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2025-10-23T17:25:17.546133,P130,0,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T17:26:04.075608,P1100,0,[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2025-10-23T17:31:29.774123,P202,0,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T17:32:02.375790,P202,0,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T17:42:52.728826,P1200,1,[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]
2025-10-23T17:42:58.070047,P1200,1,[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]
2025-10-23T17:43:25.238829,P1200,0,[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]
2025-10-23T17:43:41.164551,P1200,13,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T17:43:47.088218,P1200,13,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T17:44:02.390882,P1200,1,[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
2025-10-23T17:44:20.612128,P1200,0,[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
2025-10-23T17:44:54.926863,P120,2,[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
2025-10-23T17:49:15.142225,P2000,0,[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]
2025-10-23T17:49:38.054332,P2000,0,[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]
2025-10-23T17:50:29.584053,P200,1,[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]
2025-10-23T17:50:42.558407,P200,6,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2025-10-23T18:06:44.689325,P1011,0,[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]
2025-10-23T18:07:12.603394,P1011,3,[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
